ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
1	1	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
10	10	155655	  44.7330	-107.1830	4963.39	-999	1.4400	60	B	2	50	
100	100	147342	  44.9830	-107.0580	4249.08	-999	1.6800	60	B	2	50	
1000	1000	157046	  44.6920	-106.9750	4075.59	-999	1.9200	60	B	2	50	
1001	1001	157042	  44.6920	-107.1420	4816.40	-999	1.4400	60	B	2	50	
1002	1002	157043	  44.6920	-107.1000	4728.87	-999	1.8000	60	B	2	50	
1003	1003	157046	  44.6920	-106.9750	4075.59	-999	1.8000	60	B	2	50	
1004	1004	157046	  44.6920	-106.9750	4075.59	-999	1.9200	60	B	2	50	
1005	1005	157042	  44.6920	-107.1420	4816.40	-999	1.4400	60	B	2	50	
1006	1006	157046	  44.6920	-106.9750	4075.59	-999	1.5600	60	B	2	50	
1007	1007	157043	  44.6920	-107.1000	4728.87	-999	1.8000	60	B	2	50	
1008	1008	157043	  44.6920	-107.1000	4728.87	-999	1.7634	60	B	2	50	
1009	1009	157048	  44.6920	-106.8920	4288.58	-999	1.9200	60	B	2	50	
101	101	147345	  44.9830	-106.9330	3686.88	-999	1.9216	60	B	2	50	
1010	1010	157046	  44.6920	-106.9750	4075.59	-999	1.9200	60	B	2	50	
1011	1011	157042	  44.6920	-107.1420	4816.40	-999	1.4400	60	B	2	50	
1012	1012	157046	  44.6920	-106.9750	4075.59	-999	1.8321	60	B	2	50	
1013	1013	157044	  44.6920	-107.0580	4590.68	-999	1.8000	60	B	2	50	
1014	1014	157042	  44.6920	-107.1420	4816.40	-999	1.4400	60	B	2	50	
1015	1015	157049	  44.6920	-106.8500	4175.20	-999	1.9200	60	B	2	50	
1016	1016	157046	  44.6920	-106.9750	4075.59	-999	1.8000	60	B	2	50	
1017	1017	157044	  44.6920	-107.0580	4590.68	-999	1.8000	60	B	2	50	
1018	1018	157049	  44.6920	-106.8500	4175.20	-999	1.9200	60	B	2	50	
